"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2019","4.64","4.63","4.64","4.62","26.48K","0.87%"
"Jul 30, 2019","4.60","4.62","4.62","4.59","34.06K","-0.41%"
"Jul 29, 2019","4.62","4.64","4.65","4.62","74.24K","-0.40%"
"Jul 26, 2019","4.64","4.60","4.64","4.60","42.11K","0.43%"
"Jul 25, 2019","4.62","4.66","4.67","4.61","17.02K","0.16%"
"Jul 24, 2019","4.61","4.61","4.62","4.59","11.67K","0.76%"
"Jul 23, 2019","4.58","4.58","4.59","4.56","40.02K","0.76%"
"Jul 22, 2019","4.54","4.53","4.55","4.53","102.36K","-0.37%"
"Jul 19, 2019","4.56","4.56","4.57","4.55","112.09K","0.86%"
"Jul 18, 2019","4.52","4.53","4.54","4.52","49.74K","-0.72%"
"Jul 17, 2019","4.55","4.58","4.58","4.55","555.95K","-0.63%"
"Jul 16, 2019","4.58","4.56","4.59","4.56","59.42K","0.42%"
"Jul 15, 2019","4.56","4.59","4.59","4.56","144.05K","0.00%"
"Jul 12, 2019","4.57","4.55","4.57","4.54","146.03K","0.67%"
"Jul 11, 2019","4.54","4.56","4.56","4.54","40.75K","0.00%"
"Jul 10, 2019","4.54","4.55","4.57","4.54","10.07K","0.00%"
"Jul 09, 2019","4.54","4.55","4.55","4.53","15.35K","-0.58%"
"Jul 08, 2019","4.56","4.59","4.59","4.56","58.80K","-0.25%"
"Jul 05, 2019","4.57","4.59","4.59","4.56","97.89K","-0.29%"
"Jul 04, 2019","4.59","4.59","4.59","4.57","9.47K","0.37%"
"Jul 03, 2019","4.57","4.55","4.57","4.55","43.64K","1.11%"
"Jul 02, 2019","4.52","4.55","4.55","4.52","60.72K","0.12%"
"Jul 01, 2019","4.51","4.55","4.56","4.51","57.95K","1.09%"
"Jun 28, 2019","4.47","4.45","4.47","4.44","31.65K","1.29%"
"Jun 27, 2019","4.41","4.42","4.42","4.39","38.61K","0.42%"
"Jun 26, 2019","4.39","4.41","4.41","4.39","40.57K","-0.36%"
"Jun 25, 2019","4.41","4.40","4.42","4.40","34.63K","-0.38%"
"Jun 24, 2019","4.42","4.47","4.47","4.42","16.30K","-1.17%"
"Jun 21, 2019","4.48","4.50","4.50","4.46","42.72K","-0.44%"
"Jun 20, 2019","4.50","4.50","4.52","4.50","92.83K","0.37%"
