"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2019","5.00","5.01","5.01","5.00","49.68K","0.00%"
"Mar 14, 2019","5.00","5.00","5.00","5.00","21.38K","0.00%"
"Mar 13, 2019","5.00","5.01","5.01","5.00","27.51K","0.00%"
"Mar 12, 2019","5.00","5.00","5.00","4.99","65.32K","0.20%"
"Mar 11, 2019","4.99","4.99","5.00","4.99","81.48K","-0.20%"
"Mar 08, 2019","5.00","5.00","5.00","4.99","26.92K","0.20%"
"Mar 07, 2019","4.99","4.98","4.99","4.98","22.34K","0.20%"
"Mar 06, 2019","4.98","4.98","4.98","4.97","229.27K","0.20%"
"Mar 05, 2019","4.97","4.98","4.98","4.97","101.21K","0.00%"
"Mar 04, 2019","4.97","4.96","4.97","4.96","50.25K","0.00%"
"Mar 01, 2019","4.97","4.97","4.97","4.97","16.56K","0.00%"
"Feb 28, 2019","4.97","4.99","4.99","4.97","25.25K","0.00%"
"Feb 27, 2019","4.97","4.99","4.99","4.97","18.59K","-0.20%"
"Feb 26, 2019","4.98","4.99","4.99","4.98","202.79K","0.00%"
"Feb 25, 2019","4.98","4.98","4.98","4.98","226.47K","0.00%"
"Feb 22, 2019","4.98","4.98","4.99","4.98","112.83K","0.00%"
"Feb 21, 2019","4.98","4.98","4.98","4.97","28.05K","0.00%"
"Feb 20, 2019","4.98","4.98","4.99","4.98","165.06K","-0.20%"
"Feb 19, 2019","4.99","4.98","4.99","4.98","16.46K","0.20%"
"Feb 18, 2019","4.98","4.98","4.98","4.98","3.62K","0.00%"
"Feb 15, 2019","4.98","4.99","4.99","4.97","53.20K","0.00%"
"Feb 14, 2019","4.98","4.98","4.99","4.98","36.00K","0.00%"
"Feb 13, 2019","4.98","4.98","4.98","4.97","72.55K","0.00%"
"Feb 12, 2019","4.98","4.98","4.98","4.98","556.78K","0.00%"
"Feb 11, 2019","4.98","4.99","4.99","4.98","34.41K","0.00%"
"Feb 08, 2019","4.98","4.98","4.99","4.98","30.21K","0.00%"
"Feb 07, 2019","4.98","4.97","4.98","4.97","26.06K","0.00%"
"Feb 06, 2019","4.98","4.98","4.98","4.97","3.59K","0.00%"
"Feb 05, 2019","4.98","4.96","4.98","4.96","151.58K","0.20%"
"Feb 04, 2019","4.97","4.98","4.98","4.96","23.46K","0.00%"
"Feb 01, 2019","4.97","4.99","4.99","4.97","29.30K","-0.20%"
"Jan 31, 2019","4.98","4.96","4.98","4.96","64.74K","0.40%"
"Jan 30, 2019","4.96","4.97","4.97","4.95","7.06K","0.00%"
"Jan 29, 2019","4.96","4.96","4.97","4.96","54.25K","0.00%"
"Jan 28, 2019","4.96","4.96","4.96","4.95","7.81K","0.00%"
"Jan 25, 2019","4.96","4.96","4.96","4.96","30.14K","0.00%"
"Jan 24, 2019","4.96","4.96","4.96","4.96","25.77K","0.00%"
"Jan 23, 2019","4.96","4.95","4.96","4.94","536.43K","0.20%"
"Jan 22, 2019","4.95","4.96","4.96","4.95","32.92K","0.20%"
"Jan 21, 2019","4.94","4.94","4.95","4.94","12.21K","0.00%"
